date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:21	320/320	---MCZ	200	added ('OK')	text/plain	date:Sat,%2006%20Nov%202021%2021:25:20%20GMT	https://www.circle.uchicago.edu/robots.txt		(from )
17:25:21	53993/53993	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Nov%202021%2021:23:52%20GMT	https://www.circle.uchicago.edu/	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/index.html	(from )
17:25:21	150/150	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2006%20Nov%202021%2021:25:20%20GMT	https://www.circle.uchicago.edu/xmlrpc.php	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/xmlrpc.php	(from https://www.circle.uchicago.edu/)
17:25:21	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%22b0455945b2e7fa9251d6f55c6d4dfafd:1581601878%22	https://cloud.typography.com/6526092/7294572/css/fonts.css	C:/My%20Web%20Sites/Circle%20Website/cloud.typography.com/6526092/7294572/css/fonts.1.delayed	(from https://www.circle.uchicago.edu/)
17:25:22	269544/269544	---MCZ	200	added ('OK')	text/css	etag:W/%2289c133ff407ace1acd5eb9e5c3a41248%22	https://d3qi0qp55mx5f5.cloudfront.net/shared-resources/fonts/768728/98F132FDFDA33624C.css	C:/My%20Web%20Sites/Circle%20Website/d3qi0qp55mx5f5.cloudfront.net/shared-resources/fonts/768728/98F132FDFDA33624C.css	(from https://www.circle.uchicago.edu/)
17:25:22	10915/10915	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2006%20Nov%202021%2021:25:21%20GMT	https://kit.fontawesome.com/dae0a873de.js	C:/My%20Web%20Sites/Circle%20Website/kit.fontawesome.com/dae0a873de.js	(from https://www.circle.uchicago.edu/)
17:25:22	256/256	---MCZ	200	added ('OK')	text/css	etag:W/%225b3e40f5-100%22	https://www.circle.uchicago.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/dwd-map-extended/public/css/dwd-map-extended-public.css?ver=1.5.2	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/dwd-map-extended/public/css/dwd-map-extended-public6bc5.css	(from https://www.circle.uchicago.edu/)
17:25:22	55997/55997	---MCZ	200	added ('OK')	text/css	etag:W/%225e54d4ae-dabd%22	https://www.circle.uchicago.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/Divi-Blog-Extras/styles/style.min.css?ver=2.3.2	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/Divi-Blog-Extras/styles/style.min95b8.css	(from https://www.circle.uchicago.edu/)
17:25:24	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Nov%202021%2021:25:23%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/Circle%20Website/fonts.gstatic.com/index.html	(from https://www.circle.uchicago.edu/)
17:25:25	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2006%20Nov%202021%2021:25:22%20GMT	http://us-west-2.files.campus.edublogs.org.s3.amazonaws.com/	C:/My%20Web%20Sites/Circle%20Website/us-west-2.files.campus.edublogs.org.s3.amazonaws.com/index.html	(from https://www.circle.uchicago.edu/)
17:25:26	786613/786613	---MCZ	200	added ('OK')	text/css	etag:W/%22614053b0-c00b5%22	https://www.circle.uchicago.edu/wp-content/themes/divi/style-static.min.css?ver=4.10.5	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-content/themes/divi/style-static.min00f2.css	(from https://www.circle.uchicago.edu/)
17:25:26	37135/37135	---MCZ	200	added ('OK')	text/css	etag:W/%225ef2b9a3-910f%22	https://www.circle.uchicago.edu/wp-content/themes/divi_uc_2/style.css?ver=2.0.0	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-content/themes/divi_uc_2/style001e.css	(from https://www.circle.uchicago.edu/)
17:25:26	1291/1291	---MC-	200	added ('OK')	application/rss+xml	etag:%2231a731871a62f7042ebc6b00e358deeb%22	https://www.circle.uchicago.edu/feed/	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/feed/index.html	(from https://www.circle.uchicago.edu/)
17:25:26	911/911	---MC-	200	added ('OK')	application/rss+xml	etag:%2274b475d8c14db635b418f29b6a8690ea%22	https://www.circle.uchicago.edu/comments/feed/	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/comments/feed/index.html	(from https://www.circle.uchicago.edu/)
17:25:27	3181/3181	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225e54d4ae-c6d%22	https://www.circle.uchicago.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/Divi-Blog-Extras/scripts/frontend-bundle.min.js?ver=2.3.2	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/Divi-Blog-Extras/scripts/frontend-bundle.min95b8.js	(from https://www.circle.uchicago.edu/)
17:25:27	472/472	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225e54d4ae-1d8%22	https://www.circle.uchicago.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/Divi-Blog-Extras/scripts/widget.min.js?ver=2.3.2	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/Divi-Blog-Extras/scripts/widget.min95b8.js	(from https://www.circle.uchicago.edu/)
17:25:28	24998/24998	---MC-	200	added ('OK')	application/json	date:Sat,%2006%20Nov%202021%2021:25:27%20GMT	https://www.circle.uchicago.edu/wp-json/wp/v2/pages/82	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-json/wp/v2/pages/82.json	(from https://www.circle.uchicago.edu/)
17:25:28	150/150	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2006%20Nov%202021%2021:25:27%20GMT	https://www.circle.uchicago.edu/xmlrpc.php?rsd	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/xmlrpc0db0.php	(from https://www.circle.uchicago.edu/)
17:25:28	210712/210712	---MC-	200	added ('OK')	application/json	date:Sat,%2006%20Nov%202021%2021:25:27%20GMT	https://www.circle.uchicago.edu/wp-json/	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-json/index.html	(from https://www.circle.uchicago.edu/)
17:25:28	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%225e0daf3a-415%22	https://voices.uchicago.edu/circlehealthcare/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Circle%20Website/voices.uchicago.edu/circlehealthcare/wp-includes/wlwmanifest.xml	(from https://www.circle.uchicago.edu/)
