date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:27	320/320	U--MCZ	200	updated ('OK')	text/plain	date:Sun,%2003%20Oct%202021%2018:06:43%20GMT	https://www.circle.uchicago.edu/robots.txt		(from )
14:30:27	53985/53985	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2003%20Oct%202021%2017:42:26%20GMT	https://www.circle.uchicago.edu/	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/index.html	(from )
14:30:27	150/150	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2003%20Oct%202021%2018:30:26%20GMT	https://www.circle.uchicago.edu/xmlrpc.php	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/xmlrpc.php	(from https://www.circle.uchicago.edu/)
14:30:28	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%22b0455945b2e7fa9251d6f55c6d4dfafd:1581601878%22	https://cloud.typography.com/6526092/7294572/css/fonts.css	C:/My%20Web%20Sites/Circle%20Website/cloud.typography.com/6526092/7294572/css/fonts.1.delayed	(from https://www.circle.uchicago.edu/)
14:30:28	269544/269544	U-----	200	untouched ('OK')	text/css	etag:W/%2289c133ff407ace1acd5eb9e5c3a41248%22	https://d3qi0qp55mx5f5.cloudfront.net/shared-resources/fonts/768728/98F132FDFDA33624C.css	C:/My%20Web%20Sites/Circle%20Website/d3qi0qp55mx5f5.cloudfront.net/shared-resources/fonts/768728/98F132FDFDA33624C.css	(from https://www.circle.uchicago.edu/)
14:30:28	150/150	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2003%20Oct%202021%2018:30:27%20GMT	https://www.circle.uchicago.edu/xmlrpc.php?rsd	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/xmlrpc0db0.php	(from https://www.circle.uchicago.edu/)
14:30:28	10915/10915	U--MCZ	200	updated ('OK')	text/javascript	date:Sun,%2003%20Oct%202021%2018:30:27%20GMT	https://kit.fontawesome.com/dae0a873de.js	C:/My%20Web%20Sites/Circle%20Website/kit.fontawesome.com/dae0a873de.js	(from https://www.circle.uchicago.edu/)
14:30:28	1290/1290	U--MC-	200	updated ('OK')	application/rss+xml	etag:%2273ff6de1f12069d733987eef406df1b9%22	https://www.circle.uchicago.edu/feed/	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/feed/index.html	(from https://www.circle.uchicago.edu/)
14:30:29	26294/26294	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Oct%202021%2018:30:27%20GMT	https://www.circle.uchicago.edu/POST	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/POST	(from https://www.circle.uchicago.edu/)
14:30:29	910/910	U--MC-	200	updated ('OK')	application/rss+xml	etag:%224c2556ee26ad919bdd76d97bead85959%22	https://www.circle.uchicago.edu/comments/feed/	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/comments/feed/index.html	(from https://www.circle.uchicago.edu/)
14:30:29	132620/132620	U--MCZ	200	updated ('OK')	text/css	date:Sun,%2003%20Oct%202021%2018:00:26%20GMT	https://www.circle.uchicago.edu/?load_frmpro_css=true&ver=4231558	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/index3184.html	(from https://www.circle.uchicago.edu/)
14:30:29	256/256	U-----	200	untouched ('OK')	text/css	etag:W/%225b3e40f5-100%22	https://www.circle.uchicago.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/dwd-map-extended/public/css/dwd-map-extended-public.css?ver=1.5.2	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/dwd-map-extended/public/css/dwd-map-extended-public6bc5.css	(from https://www.circle.uchicago.edu/)
14:30:29	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Sun,%2003%20Oct%202021%2018:30:28%20GMT	https://www.circle.uchicago.edu/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-admin/admin-ajax.php	(from https://www.circle.uchicago.edu/)
14:30:30	0/0	---MC-	302	error ('Found')	image/png	etag:b103d4a0750eb0926b063106d8c6ea92	https://www.circle.uchicago.edu/files/2020/08/cropped-bed_logo-32x32.png	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/files/2020/08/cropped-bed_logo-32x32.png	(from https://www.circle.uchicago.edu/)
14:30:30	55997/55997	U-----	200	untouched ('OK')	text/css	etag:W/%225e54d4ae-dabd%22	https://www.circle.uchicago.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/Divi-Blog-Extras/styles/style.min.css?ver=2.3.2	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/Divi-Blog-Extras/styles/style.min95b8.css	(from https://www.circle.uchicago.edu/)
14:30:30	0/0	---MC-	302	error ('Found')	image/png	etag:9ab504cbd54119f151b70a64503aaecf	https://www.circle.uchicago.edu/files/2020/08/cropped-bed_logo-192x192.png	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/files/2020/08/cropped-bed_logo-192x192.png	(from https://www.circle.uchicago.edu/)
14:30:30	786613/786613	U-----	200	untouched ('OK')	text/css	etag:W/%22614053b0-c00b5%22	https://www.circle.uchicago.edu/wp-content/themes/divi/style-static.min.css?ver=4.10.5	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-content/themes/divi/style-static.min00f2.css	(from https://www.circle.uchicago.edu/)
14:30:30	0/0	---MC-	302	error ('Found')	image/png	etag:52e4e50c7d0b5bccc36a3eccebe22db0	https://www.circle.uchicago.edu/files/2020/08/cropped-bed_logo-180x180.png	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/files/2020/08/cropped-bed_logo-180x180.png	(from https://www.circle.uchicago.edu/)
14:30:30	37135/37135	U-----	200	untouched ('OK')	text/css	etag:W/%225ef2b9a3-910f%22	https://www.circle.uchicago.edu/wp-content/themes/divi_uc_2/style.css?ver=2.0.0	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-content/themes/divi_uc_2/style001e.css	(from https://www.circle.uchicago.edu/)
14:30:30	77191/77191	U-----	200	untouched ('OK')	text/css	etag:W/%2260bf7283-12d87%22	https://www.circle.uchicago.edu/wp-content/plugins/jetpack/css/jetpack.css?ver=9.6.1	C:/My%20Web%20Sites/Circle%20Website/www.circle.uchicago.edu/wp-content/plugins/jetpack/css/jetpackab9f.css	(from https://www.circle.uchicago.edu/)
